,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,154,0.9338116115749554,6.464540369684169e-05,0.9129509016520647,181,2,5,10,0.15607229879037363
1,81,0.9732601579190956,0.0005189512292504144,0.8375574425201311,425,4,25,14,0.21476155298123834
2,105,0.9399847732290951,0.0005836085026682501,0.9112985364364874,120,3,14,7,0.17925097579168942
3,111,0.9527402531588802,0.0009720688844669375,0.9058430065248674,336,3,33,14,0.19035384703086192
4,130,0.9105978185340405,0.0008675944563315787,0.8764167820556883,487,1,24,5,0.20275406957332498
5,113,0.956732482215422,0.00036355105036237734,0.9418770522570379,492,2,17,6,0.22538051638338302
6,96,0.9409285953007591,0.0009376097470470499,0.8429340650302651,243,2,19,16,0.19102895375879353
7,109,0.9022118146971614,0.00016004730159166277,0.8120429020504453,444,4,19,13,0.21664074653271953
8,114,0.973284604027439,0.0008330545993690839,0.9340275405736065,284,1,44,4,0.1894079704334976
9,71,0.9383840213066263,0.000539937389793583,0.8559827985912685,92,2,5,19,0.13757439994386264
10,177,0.9781177871272602,0.0006072099628461997,0.9110196048327288,113,2,31,16,0.15539542198000167
11,70,0.9072894812602582,7.127925184141455e-06,0.9110217544119036,397,1,28,12,0.16101648908585414
12,170,0.982098899437702,0.0004325659091732324,0.8096431467040612,113,1,33,3,0.1732305373701317
13,44,0.971106790936157,0.0004064311449286616,0.9468271843898172,288,2,32,6,0.17287094566007377
14,140,0.9623909984969758,0.00026265020345242685,0.8762774662840782,319,4,35,7,0.2001385811033878
15,55,0.9238703576004832,0.0007514402951526765,0.8544403903588577,249,1,36,12,0.19164652368948284
16,165,0.976141599908491,0.0009585597977007887,0.8260623993747814,154,3,46,4,0.17627164260241515
17,66,0.9297360298359632,0.00033547504219498466,0.9235777940553487,23,1,5,9,0.16738249182520887
18,164,0.9327696179848719,0.000950872464434326,0.936832877552719,294,3,18,16,0.17895379992447388
19,178,0.9850176313029019,0.0003204329532287974,0.9356131965537056,222,3,29,8,0.15555527889066273
20,107,0.9515826046220838,0.0005387138373402634,0.821685236481291,195,3,17,6,0.15285810798352317
21,84,0.9622799282229518,1.1554579240651303e-05,0.8382227896272786,24,1,40,6,0.15143608123605007
22,192,0.9587189296089218,0.00042691853949747147,0.9401021774750864,239,2,40,8,0.19060804286805527
23,119,0.9481438660318537,0.0006040068589152274,0.8091839239936243,338,4,29,10,0.20263814061949464
24,157,0.9059056592375541,0.00015150372860375363,0.9476285565882863,101,3,38,3,0.15020014218973196
25,179,0.948705748748067,0.00017209406823979182,0.8688430486160391,374,3,41,19,0.1854077345293208
26,91,0.9549769111132373,0.000945573010235925,0.916858818605754,220,4,17,13,0.17680717108980207
27,183,0.9191987447335939,0.00033254500614611173,0.8510330798468206,322,2,16,9,0.200530713044205
28,118,0.9742081969935491,5.074552182537168e-07,0.8348436964611927,221,3,29,8,0.18892416824057542
29,59,0.9773785579336974,0.0007083733871103548,0.8301488765018868,450,3,27,6,0.19956294951382383
30,96,0.9328784847298417,0.0007069370934383752,0.8986248290310463,406,2,19,7,0.21193570378015963
31,110,0.9685347371544453,0.0001616859469797144,0.8774519827446904,149,3,21,11,0.18222923666168372
32,74,0.9324526128618281,0.0005250984566579212,0.8640097126879415,373,4,40,9,0.19532211667587354
33,51,0.9368129860644228,0.00039343452285236667,0.9187765209471237,105,2,29,5,0.1778144301438064
34,116,0.9471780911744839,0.0007507127129852156,0.8145631861852426,168,4,33,5,0.1754801969935176
35,114,0.9510494328738918,0.0007361015469003542,0.8802381293153752,37,4,45,15,0.17143792912900613
36,121,0.9525009598602546,0.00023775393309202248,0.940233993642265,252,3,39,7,0.14610740978200482
37,67,0.9660676901811955,8.055165809579599e-05,0.8790466596984507,201,3,9,3,0.18678959983467402
38,123,0.9245197170958499,0.000894533619461417,0.8633923405247812,42,3,5,9,0.1718883465975523
39,116,0.9349593304222846,6.951416680285949e-05,0.9125175252558486,116,2,33,11,0.1655726094113993
40,88,0.9051297104673709,0.0007294102963634051,0.8676005778091921,442,3,11,13,0.18386127134518965
41,170,0.9557425927469088,0.0003748926868994325,0.9363127682782018,64,3,11,19,0.17387895974570505
42,171,0.985879612685953,0.0009959836157909547,0.8534477659664536,97,1,38,5,0.17704604623737855
43,65,0.986359011540822,0.0009460209101785225,0.8695782376686252,103,1,5,5,0.17762255633722235
44,58,0.9855988921781044,7.758867798566205e-05,0.9360723738045329,72,4,25,7,0.17495485878218028
45,133,0.9134348699491383,0.0006041490647609038,0.8817476341278191,18,1,5,6,0.169742162222974
46,148,0.9122061780067707,0.000287668683722239,0.8592461199553582,494,2,24,18,0.21907868097019478
47,132,0.9791424150294131,0.00029654019307625163,0.9063469788594934,189,3,44,3,0.1856857407871911
48,74,0.9078166264301353,0.0007483663127431107,0.8595772191951141,448,3,7,4,0.20659220777719228
49,99,0.9764711053309996,0.0008318321385096442,0.9370245323010813,287,1,31,12,0.19606796546668484
